"Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze"
"Stockholm (1912),1912,Athletics,Athletics,Konstantinos Tsiclitiras,GRE,Men,""high jump, standing men"",Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Platt Adams,USA,Men,""high jump, standing men"",Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Benjamin W. Adams,USA,Men,""high jump, standing men"",Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Mor Kovacs,HUN,Men,javelin throw men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Eric Lemming,SWE,Men,javelin throw men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Juho Julius Saaristo,FIN,Men,javelin throw men,Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Urho Pellervo Peltonen,FIN,Men,""javelin throw, both hands men"",Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Juho Julius Saaristo,FIN,Men,""javelin throw, both hands men"",Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,VÃ¤inÃ¶ Siikaniemi,FIN,Men,""javelin throw, both hands men"",Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Georg Aberg,SWE,Men,long jump men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Albert Lovejoy Gutterson,USA,Men,long jump men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Calvin David Bricker,CAN,Men,long jump men,Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Benjamin W. Adams,USA,Men,""long jump, standing men"",Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Konstantinos Tsiclitiras,GRE,Men,""long jump, standing men"",Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Platt Adams,USA,Men,""long jump, standing men"",Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Gaston Strobino,USA,Men,marathon men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Kennedy Kane Mcarthur,RSA,Men,marathon men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Christian W. Gitsham,RSA,Men,marathon men,Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Frank Lukeman,CAN,Men,pentathlon men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Ferdinand Reinhardt Bie,NOR,Men,pentathlon men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Jim Thorpe,USA,Men,pentathlon men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,James Joseph Donahue,USA,Men,pentathlon men,Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,William Happenny,CAN,Men,pole vault men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Frank Dwyer Murphy,USA,Men,pole vault men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Bertil Uggla,SWE,Men,pole vault men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Harry Stoddard Babcock,USA,Men,pole vault men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Frank Thayer Nelson,USA,Men,pole vault men,Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Marc Snowell Wright,USA,Men,pole vault men,Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Laurence Atwood Whitney,USA,Men,shot put men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Patrick Mcdonald,USA,Men,shot put men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Ralph Rose,USA,Men,shot put men,Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Elmer Konstantin Niklander,FIN,Men,""shot put, both hands men"",Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Ralph Rose,USA,Men,""shot put, both hands men"",Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Patrick Mcdonald,USA,Men,""shot put, both hands men"",Silver,0,1,0"
"Stockholm (1912),1912,Athletics,Athletics,Erik AlmlÃ¶f,SWE,Men,triple jump men,Bronze,0,0,1"
"Stockholm (1912),1912,Athletics,Athletics,Gustav Lindblom,SWE,Men,triple jump men,Gold,1,0,0"
"Stockholm (1912),1912,Athletics,Athletics,Georg Aberg,SWE,Men,triple jump men,Silver,0,1,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Carl Otto Schutte,USA,Men,individual time trial men,Bronze,0,0,1"
"Stockholm (1912),1912,Cycling,Cycling Road,Rudolph Lewis,RSA,Men,individual time trial men,Gold,1,0,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Frederick Henry Grubb,GBR,Men,individual time trial men,Silver,0,1,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Albert Krushel,USA,Men,team time trial men,Bronze,0,0,1"
"Stockholm (1912),1912,Cycling,Cycling Road,Alvin Hjalmar Loftes,USA,Men,team time trial men,Bronze,0,0,1"
"Stockholm (1912),1912,Cycling,Cycling Road,Walter C. Martin,USA,Men,team time trial men,Bronze,0,0,1"
"Stockholm (1912),1912,Cycling,Cycling Road,Carl Otto Schutte,USA,Men,team time trial men,Bronze,0,0,1"
"Stockholm (1912),1912,Cycling,Cycling Road,Erik Friborg,SWE,Men,team time trial men,Gold,1,0,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Algot LÃ¶nn,SWE,Men,team time trial men,Gold,1,0,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Ragnar Malm,SWE,Men,team time trial men,Gold,1,0,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Axel Wilhelm Persson,SWE,Men,team time trial men,Gold,1,0,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Frederick Henry Grubb,GBR,Men,team time trial men,Silver,0,1,0"
"Stockholm (1912),1912,Cycling,Cycling Road,William Robert Hammond,GBR,Men,team time trial men,Silver,0,1,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Leonard Lewis Meredith,GBR,Men,team time trial men,Silver,0,1,0"
"Stockholm (1912),1912,Cycling,Cycling Road,Charles Moss,GBR,Men,team time trial men,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Dressage,Hans Von blixen-finecke,SWE,Men,individual,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Dressage,Carl Bonde,SWE,Men,individual,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Dressage,Gustaf-Adolf Boltenstern,SWE,Men,individual,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Eventing,J Cariou,FRA,Men,individual,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Eventing,Axel Nordlander,SWE,Men,individual,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Eventing,Friedrich Leopold Harry Von rochow,GER,Men,individual,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Eventing,Ephraim Foster Graham,USA,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Eventing,Guy Verner Henry,USA,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Eventing,Benjamin Lear,USA,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Eventing,John Carter Montgomery,USA,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Eventing,Nils Adlercreutz,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Eventing,Ernst Casparsson,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Eventing,Henric Horn af aminne,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Eventing,Axel Nordlander,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Eventing,Eduard Von lÃ¼tscken,GER,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Eventing,Henrich Von moers,GER,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Eventing,Friedrich Leopold Harry Von rochow,GER,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Eventing,Rudolf Graf Von schaesberg-tannheim,GER,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Jumping,Emmanuel De blommaert de soye,BEL,Men,individual,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Jumping,J Cariou,FRA,Men,individual,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Jumping,Rabod Wilhelm Von krÃ¶cher,GER,Men,individual,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Jumping,Ernst Hubertus Deloch,GER,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Jumping,Sigismund Freyer,GER,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Jumping,Wilhelm Von hohenau,GER,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Jumping,Friedrich Karl Von preussen,GER,Men,team,Bronze,0,0,1"
"Stockholm (1912),1912,Equestrian,Jumping,Gustaf Kilman,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Jumping,Carl Gustaf Lewenhaupt,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Jumping,Frederik Rosencrantz,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Jumping,Hans Von rosen,SWE,Men,team,Gold,1,0,0"
"Stockholm (1912),1912,Equestrian,Jumping,J Cariou,FRA,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Jumping,Michel Dufourt d'astafort,FRA,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Jumping,Bernard Meyer,FRA,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Equestrian,Jumping,Albert Seigner,FRA,Men,team,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Philippe Le hardy de beaulieu,BEL,Men,Ã©pÃ©e individual men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Paul Anspach,BEL,Men,Ã©pÃ©e individual men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Ivan Joseph Martin Osiier,DEN,Men,Ã©pÃ©e individual men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Adrianus Egbertus Willem De jong,NED,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Jetze Doorman,NED,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Leonardus Salomonson,NED,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Willem Peter Hubert Van blijenburgh,NED,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,George Van rossem,NED,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Henri Anspach,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Paul Anspach,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Fernand De montigny,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Robert Hennet,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Jacques Ochs,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,FranÃ§ois Rom,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Gaston C.J.M. Salmon,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Victor Willems,BEL,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Edgar Montague Amphlett,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,John Percy Blake,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Percival May Dawson,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Arthur Francis G. Everitt,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Martin Drummond Holt,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Sydney Martineau,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Robert Cecil Montgomerie,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Edgar Isaac Seligman,GBR,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Richard Verderber,AUT,Men,foil individual men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Nedo Nadi,ITA,Men,foil individual men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Pietro Speciale,ITA,Men,foil individual men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Ervin Meszaros,HUN,Men,sabre individual men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,JenÃ¶ Fuchs,HUN,Men,sabre individual men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,BÃ©la Bekessy,HUN,Men,sabre individual men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Adrianus Egbertus Willem De jong,NED,Men,sabre team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Hendrik Egb. Willem De jongh,NED,Men,sabre team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Jetze Doorman,NED,Men,sabre team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Dirk Scalongne,NED,Men,sabre team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Willem Peter Hubert Van blijenburgh,NED,Men,sabre team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,George Van rossem,NED,Men,sabre team men,Bronze,0,0,1"
"Stockholm (1912),1912,Fencing,Fencing,Laszlo Berti,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,DeszÃ¶ FÃ¶ldes,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,JenÃ¶ Fuchs,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Oskar Gerde,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Ervin Meszaros,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Zoltan Schenker,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Peter Toth,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Lajos Werkner,HUN,Men,sabre team men,Gold,1,0,0"
"Stockholm (1912),1912,Fencing,Fencing,Albert Bogen,AUT,Men,sabre team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Rudolf Cvetko,AUT,Men,sabre team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Friedrich Golling,AUT,Men,sabre team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Otto Herschmann,AUT,Men,sabre team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Andreas Suttner,AUT,Men,sabre team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Reinhold Trampler,AUT,Men,sabre team men,Silver,0,1,0"
"Stockholm (1912),1912,Fencing,Fencing,Richard Verderber,AUT,Men,sabre team men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Nicolaas Jan Jerome Bouvy,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Henri Franciscus De groot,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Johannes Marius De korver,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Nicolaas De wolf,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Constant Willem Feith,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Marius Just GÃ¶bel,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Dirk Nicolaas Lotsy,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Caesar Herman Ten cate,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Jan Gualtherus Van breda kolff,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Jan Vos,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,David Wijnveldt,NED,Men,football men,Bronze,0,0,1"
"Stockholm (1912),1912,Football,Football,Arthur Berry,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Ronald Gilchrist Brebner,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Thomas Christopher Burn,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,James Dines,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Edward T. Hanney,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Gordon Rahere Hoare,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Arthur Egerton Knight,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Henry Charles Littlewort,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Ivor Gordon Sharpe,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Harold Adrian Walden,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Vivian John Woodward,GBR,Men,football men,Gold,1,0,0"
"Stockholm (1912),1912,Football,Football,Paul Ludvig Laurits Berth,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Charles Buchwald,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Hjalmar Johan Christoffersen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Harald Hansen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Sophus Hansen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Niels Middelboe,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Sofus Erhard Nielsen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Anton Olsen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Axel Karl Petersen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Ivar Likke Seidelin-nielsen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Football,Football,Vilhelm Wolfhagen,DEN,Men,football men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Adolfo Tunesi,ITA,Men,individual all-round men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,G. Alberto Braglia,ITA,Men,individual all-round men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,B. Louis Segura,FRA,Men,individual all-round men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Albert Edward Betts,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,William Cowhig,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Sidney Cross,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Harry Dickason,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Herbert James Drury,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Bernard Wallis Franklin,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Leonard Hanson,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Samuel Hodgetts,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Charles James Luck,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,William Mac kune,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Ronald Gordon Mclean,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Alfred William Messenger,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Henry Arthur Oberholzer,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Edward Ernest Pepper,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Edward William Potts,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Reginald Hubert Potts,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,George James Ross,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Charles Simmons,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Arthur George Heron Southern,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,William Titt,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Charles Alfred Vigurs,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Samuel John Walker,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Charles Joseph West,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,John T. Whitaker,GBR,Men,team competition men,Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Pietro Bianchi,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Guido Boni,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,G. Alberto Braglia,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Guiseppe Domenichelli,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Carlo Fregosi,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Alfredo Gollini,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Francesco Loi,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Giovanni Mangiante,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Lorenzo Mangiante,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Serafino Mazzarochi,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Guido Romano,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Paolo Salvi,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Luciano Savorini,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Adolfo Tunesi,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Giorgio Zampori,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Angelo Zorzi,ITA,Men,team competition men,Gold,1,0,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Lajos Aradi,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Jozsef Berkes,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Imre ErdÃ¶dy,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Samu Foti,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Imre Gellert,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,GyÃ¶zÃ¶ Halmos,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Otto Hellmich,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Istvan Herczeg,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Jozsef Keresztessy,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Janos Korponai,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Elemer Paszty,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Arpad Pedery,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,JenÃ¶ Reti,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Ferenc SzÃ¼ts,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Ã–dÃ¶n Tery,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,GÃ©za Tuli,HUN,Men,team competition men,Silver,0,1,0"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Axel Sigurd Andersen,DEN,Men,""team, free system men"",Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Hjalmart NÃ¶rregaard Andersen,DEN,Men,""team, free system men"",Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Halvor Birch,DEN,Men,""team, free system men"",Bronze,0,0,1"
"Stockholm (1912),1912,Gymnastics,Artistic Gymnastics,Hermann Johan Grimmelmann,DEN,Men,""team, free system men"",Bronze,0,0,1"
